event_id,primary_step_state,primary_point_state,nesting_attempt
32475322423,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322425,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322426,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322428,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322429,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322431,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322432,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322435,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322438,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322439,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322441,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32475322443,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982286,Step state: Summer,Point state: Summer,Not nesting
32505982288,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982289,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982292,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982293,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982296,Step state: Summer,Point state: Summer,Not nesting
32505982298,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982299,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982302,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982303,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982436,Step state: Summer,Point state: Summer,Not nesting
32505982438,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982439,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982442,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32505982443,Step state: Summer,Point state: Summer,Not nesting
32584892549,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892550,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892551,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892552,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892553,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892556,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892557,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892558,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
32584892559,Step state: Migratory (spring),Point state: Migratory (spring),Not nesting
